epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.402,1.20949,1.7286,1.23336,1,0.11635,0.87204,0.49281,1.35991,2.46704,1.38463,0.0679706,0.000323529,0.000323529
2,54.7686,1.15765,0.78511,1.17352,0.94452,0.78424,0.95659,0.69799,1.06971,1.66154,1.15974,0.0349576,0.000643857,0.000643857
3,82.3852,1.12171,0.7447,1.16197,0.97697,0.98462,0.99216,0.69683,1.10921,0.63712,1.15375,0.00193138,0.000950984,0.000950984
4,109.991,1.11731,0.70124,1.15298,0.97742,0.95903,0.99289,0.7327,0.98865,0.58956,1.13406,0.0009406,0.0009406,0.0009406
5,137.507,1.08346,0.67587,1.14025,0.80175,0.8587,0.94571,0.66735,1.10633,0.89439,1.14825,0.0009208,0.0009208,0.0009208
6,164.894,1.09825,0.64781,1.14479,0.99554,0.98462,0.99347,0.74533,0.97351,0.56893,1.07851,0.000901,0.000901,0.000901
7,192.348,1.09346,0.61856,1.1271,0.99902,0.99575,0.995,0.75163,0.98074,0.50387,1.09941,0.0008812,0.0008812,0.0008812
8,219.848,1.04854,0.58464,1.12009,0.99667,0.99897,0.995,0.73862,0.98905,0.51657,1.07321,0.0008614,0.0008614,0.0008614
9,247.202,1.06349,0.57915,1.11867,0.99789,0.99231,0.99492,0.72937,1.02449,0.51826,1.09158,0.0008416,0.0008416,0.0008416
10,274.59,1.08696,0.58151,1.13437,0.99295,0.99923,0.99495,0.75948,0.95958,0.45645,1.06181,0.0008218,0.0008218,0.0008218
11,302.067,1.03656,0.56279,1.10315,0.99647,0.99909,0.995,0.75536,0.9248,0.41409,1.04148,0.000802,0.000802,0.000802
12,329.433,1.03552,0.56039,1.10262,0.9985,0.99231,0.99492,0.73616,0.99253,0.44799,1.07412,0.0007822,0.0007822,0.0007822
13,356.778,1.03992,0.55516,1.11523,0.99802,1,0.995,0.72968,0.99224,0.43614,1.06803,0.0007624,0.0007624,0.0007624
14,384.157,1.03944,0.5334,1.10943,0.94324,0.97617,0.99356,0.75284,0.98324,0.50442,1.07335,0.0007426,0.0007426,0.0007426
15,411.478,1.00918,0.52618,1.09596,0.99913,0.99198,0.99492,0.75845,0.92231,0.41375,1.04697,0.0007228,0.0007228,0.0007228
16,438.836,1.01808,0.52141,1.09788,0.99001,0.99978,0.99492,0.7583,0.96571,0.39788,1.06266,0.000703,0.000703,0.000703
17,466.194,0.99802,0.50939,1.09303,0.99506,0.99895,0.995,0.76386,0.94916,0.41054,1.04444,0.0006832,0.0006832,0.0006832
18,493.692,1.02066,0.51242,1.10579,0.99189,0.99933,0.995,0.75347,0.94458,0.39565,1.03385,0.0006634,0.0006634,0.0006634
19,521.051,0.96928,0.49507,1.07456,0.99732,0.99953,0.995,0.76636,0.93448,0.38819,1.03257,0.0006436,0.0006436,0.0006436
20,548.559,0.99824,0.48575,1.07616,0.99695,0.99917,0.995,0.75686,0.95652,0.38518,1.03862,0.0006238,0.0006238,0.0006238
21,575.923,1.02044,0.50103,1.08952,0.99562,0.99939,0.995,0.74541,0.96376,0.3854,1.04876,0.000604,0.000604,0.000604
22,603.336,1.01115,0.49826,1.1014,0.99674,0.99231,0.99439,0.77291,0.89969,0.433,1.02962,0.0005842,0.0005842,0.0005842
23,630.817,0.99186,0.48318,1.09209,0.99376,0.99906,0.995,0.76698,0.96852,0.39183,1.04526,0.0005644,0.0005644,0.0005644
24,658.196,0.96296,0.47439,1.07339,0.99714,1,0.995,0.77535,0.9056,0.36456,1.01328,0.0005446,0.0005446,0.0005446
25,685.664,0.96786,0.48089,1.08179,0.99766,0.99921,0.995,0.78024,0.90186,0.35866,1.02623,0.0005248,0.0005248,0.0005248
26,713.157,0.9786,0.47185,1.07922,0.99048,0.99887,0.99492,0.77626,0.91423,0.35974,1.01256,0.000505,0.000505,0.000505
27,740.51,0.94773,0.46112,1.07428,0.99531,0.99231,0.99478,0.78304,0.87052,0.3545,1.00868,0.0004852,0.0004852,0.0004852
28,767.972,0.93546,0.44782,1.06785,0.99531,0.99231,0.99471,0.78098,0.87605,0.35275,1.02003,0.0004654,0.0004654,0.0004654
29,795.341,0.93879,0.43626,1.06229,0.99233,0.99231,0.99485,0.77995,0.88369,0.34811,1.00356,0.0004456,0.0004456,0.0004456
30,822.721,0.9332,0.442,1.06228,0.99597,0.99231,0.99471,0.78912,0.86764,0.3338,1.01361,0.0004258,0.0004258,0.0004258
31,850.185,0.95676,0.4503,1.06601,0.99888,0.99231,0.99478,0.77965,0.88218,0.33866,1.01478,0.000406,0.000406,0.000406
32,877.563,0.95244,0.43736,1.07401,0.99834,0.99231,0.99485,0.78544,0.89,0.33142,1.0052,0.0003862,0.0003862,0.0003862
33,904.919,0.94034,0.43234,1.05131,0.99766,0.99231,0.99485,0.79472,0.86904,0.32678,1.00077,0.0003664,0.0003664,0.0003664
34,932.393,0.93635,0.42852,1.06135,0.99784,0.99231,0.99485,0.79515,0.86079,0.33077,0.99499,0.0003466,0.0003466,0.0003466
35,959.866,0.92344,0.43081,1.05125,0.99573,0.99231,0.99492,0.79055,0.87797,0.32976,1.00695,0.0003268,0.0003268,0.0003268
36,987.236,0.92154,0.41985,1.04928,0.99776,0.99231,0.99492,0.80207,0.85093,0.32534,0.99514,0.000307,0.000307,0.000307
37,1014.76,0.88411,0.41513,1.03354,0.99789,0.9992,0.995,0.79309,0.85183,0.32556,0.99545,0.0002872,0.0002872,0.0002872
38,1042.13,0.92081,0.42598,1.0577,0.9989,0.99231,0.99492,0.80347,0.84158,0.3179,0.98788,0.0002674,0.0002674,0.0002674
39,1069.59,0.92199,0.41538,1.05778,0.99899,0.99231,0.99492,0.79013,0.85098,0.31232,0.98599,0.0002476,0.0002476,0.0002476
40,1096.96,0.89498,0.41072,1.05235,0.99689,0.99941,0.995,0.79698,0.87711,0.31516,0.99845,0.0002278,0.0002278,0.0002278
41,1125.08,0.86235,0.36236,1.02563,0.99887,0.99231,0.99492,0.79414,0.83531,0.3242,0.98409,0.000208,0.000208,0.000208
42,1152.41,0.87161,0.35386,1.03194,0.99911,0.99231,0.99492,0.79862,0.82627,0.31791,0.97884,0.0001882,0.0001882,0.0001882
43,1179.66,0.84986,0.34418,1.01624,0.99886,0.99231,0.99478,0.80666,0.82086,0.30885,0.98007,0.0001684,0.0001684,0.0001684
44,1207.06,0.84794,0.33675,1.02116,0.9989,0.99231,0.99451,0.80282,0.81768,0.31119,0.97733,0.0001486,0.0001486,0.0001486
45,1234.32,0.83991,0.33041,1.0039,0.99895,0.99231,0.99433,0.8048,0.80964,0.30931,0.97781,0.0001288,0.0001288,0.0001288
46,1261.64,0.82868,0.32544,1.01438,0.99889,0.99231,0.99485,0.80219,0.80338,0.30587,0.97657,0.000109,0.000109,0.000109
47,1288.98,0.83165,0.32786,1.01982,0.99893,0.99231,0.99492,0.80081,0.8289,0.30949,0.97826,8.92e-05,8.92e-05,8.92e-05
48,1316.26,0.84161,0.32415,1.01347,0.9959,0.99943,0.995,0.80322,0.83672,0.30748,0.97881,6.94e-05,6.94e-05,6.94e-05
49,1343.51,0.81562,0.31849,1.0087,0.99602,0.99945,0.995,0.80685,0.82208,0.30256,0.97702,4.96e-05,4.96e-05,4.96e-05
50,1370.91,0.80975,0.31227,1.00843,0.99605,0.99944,0.995,0.80941,0.81523,0.29866,0.97356,2.98e-05,2.98e-05,2.98e-05
