epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4192,1.23263,2.89556,1.29246,0.00558,0.99474,0.69158,0.474,1.02096,2.82383,1.18956,0.0686176,0.000970588,0.000970588
2,54.8511,1.09236,1.80118,1.15449,0.87839,0.83867,0.94637,0.68299,1.01308,1.42974,1.09313,0.0362453,0.00193157,0.00193157
3,82.3751,1.11663,1.20249,1.13975,0.99731,0.91684,0.98393,0.70812,1.05427,1.34524,1.11754,0.00383335,0.00285295,0.00285295
4,109.787,1.04852,1.06577,1.1121,0.9957,0.98966,0.99014,0.75508,0.91848,0.94693,1.05096,0.0028218,0.0028218,0.0028218
5,137.191,1.05542,1.01153,1.10917,0.99762,0.9845,0.99407,0.74964,0.95296,0.88074,1.05903,0.0027624,0.0027624,0.0027624
6,164.556,1.03501,0.9382,1.08745,0.99763,0.99231,0.99301,0.74413,0.95416,0.79913,1.05515,0.002703,0.002703,0.002703
7,191.932,1.05565,0.91787,1.08752,0.99764,0.99231,0.99485,0.75122,0.91858,0.78271,1.05031,0.0026436,0.0026436,0.0026436
8,219.293,1.02963,0.86726,1.09197,0.99606,0.99939,0.995,0.75303,0.95987,0.77213,1.0583,0.0025842,0.0025842,0.0025842
9,246.612,1.02757,0.86862,1.09247,0.99629,0.99231,0.99485,0.74356,0.93771,0.7364,1.07074,0.0025248,0.0025248,0.0025248
10,274.002,1.02965,0.83706,1.09795,0.99606,0.99921,0.995,0.75108,0.9649,0.72997,1.06085,0.0024654,0.0024654,0.0024654
11,301.363,1.01273,0.809,1.07936,0.99891,0.99875,0.995,0.75803,0.90525,0.68598,1.04003,0.002406,0.002406,0.002406
12,328.748,0.99882,0.80327,1.07897,0.99876,0.99882,0.995,0.75675,0.97508,0.67922,1.0457,0.0023466,0.0023466,0.0023466
13,356.104,1.00994,0.77878,1.08598,0.99723,0.99231,0.99485,0.75897,0.93976,0.6692,1.04651,0.0022872,0.0022872,0.0022872
14,383.468,0.99277,0.75334,1.08179,0.99837,1,0.995,0.74909,0.97386,0.66448,1.0498,0.0022278,0.0022278,0.0022278
15,410.768,0.98013,0.74215,1.07168,0.99758,0.99927,0.995,0.76335,0.91949,0.63939,1.03163,0.0021684,0.0021684,0.0021684
16,438.147,0.97942,0.72131,1.07124,0.99592,0.99938,0.995,0.77028,0.90751,0.61998,1.01869,0.002109,0.002109,0.002109
17,465.493,0.97398,0.71122,1.07483,0.99733,0.99936,0.995,0.77374,0.89873,0.60857,1.0141,0.0020496,0.0020496,0.0020496
18,492.85,0.98134,0.70325,1.07818,0.99768,0.99945,0.995,0.77238,0.92506,0.59209,1.01829,0.0019902,0.0019902,0.0019902
19,520.139,0.94888,0.68202,1.05613,0.99755,0.99949,0.995,0.76758,0.9162,0.57044,1.02185,0.0019308,0.0019308,0.0019308
20,547.492,0.96189,0.67425,1.0503,0.99735,0.99952,0.995,0.77428,0.89525,0.56943,1.01096,0.0018714,0.0018714,0.0018714
21,574.823,0.97131,0.68218,1.05721,0.99687,0.99944,0.995,0.76572,0.89971,0.56736,1.02071,0.001812,0.001812,0.001812
22,602.16,0.96969,0.67971,1.0737,0.99696,0.99949,0.995,0.76954,0.9077,0.57488,1.0212,0.0017526,0.0017526,0.0017526
23,629.459,0.95875,0.6694,1.06483,0.99755,0.99955,0.995,0.7756,0.90916,0.5596,1.01606,0.0016932,0.0016932,0.0016932
24,656.824,0.92737,0.63596,1.04519,0.99758,1,0.995,0.77185,0.90557,0.54853,1.01226,0.0016338,0.0016338,0.0016338
25,684.17,0.94697,0.64916,1.06563,0.99736,0.9996,0.995,0.76969,0.87618,0.53536,1.00771,0.0015744,0.0015744,0.0015744
26,711.49,0.95112,0.63569,1.05526,0.9983,0.99973,0.995,0.77476,0.90462,0.54878,1.01263,0.001515,0.001515,0.001515
27,738.788,0.92426,0.62004,1.05305,0.99726,0.99956,0.995,0.77294,0.87997,0.52563,1.00017,0.0014556,0.0014556,0.0014556
28,766.124,0.91524,0.61263,1.04747,0.9963,0.9995,0.995,0.77943,0.85855,0.50595,0.99512,0.0013962,0.0013962,0.0013962
29,793.485,0.92458,0.6045,1.05082,0.99638,0.9995,0.995,0.77615,0.88467,0.53186,1.00263,0.0013368,0.0013368,0.0013368
30,820.825,0.90909,0.60338,1.04087,0.99558,0.99945,0.995,0.77424,0.88607,0.53415,1.01224,0.0012774,0.0012774,0.0012774
