epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.032,1.53391,2.12846,1.75998,0.56979,0.18182,0.2162,0.10258,1.62772,3.92852,2.30929,0.000551861,0.000551861,0.000551861
2,1102.26,1.61632,1.7955,1.80026,0.15439,0.4336,0.13159,0.04476,1.97616,3.70458,2.84079,0.00108012,0.00108012,0.00108012
3,1649.96,1.65975,1.71905,1.83573,0.21592,0.50474,0.26492,0.12603,1.90397,3.06473,2.59596,0.00158087,0.00158087,0.00158087
4,2197.21,1.65421,1.66574,1.83208,0.16571,0.21225,0.19609,0.12425,1.81332,4.46674,2.52735,0.00154323,0.00154323,0.00154323
5,2754.71,1.59606,1.55688,1.78413,0.24418,0.55059,0.28303,0.11117,1.88071,2.6973,2.35566,0.00150197,0.00150197,0.00150197
6,3366.36,1.5867,1.4888,1.76681,0.32583,0.6913,0.31946,0.14316,1.89736,2.93927,2.49411,0.00146071,0.00146071,0.00146071
7,3974.08,1.57623,1.49168,1.76684,0.31825,0.60665,0.3725,0.18835,1.69119,2.44536,2.36744,0.00141945,0.00141945,0.00141945
8,4575.53,1.55098,1.41323,1.73835,0.23125,0.62363,0.29871,0.12889,1.88484,3.24619,2.51761,0.00137819,0.00137819,0.00137819
9,5176.98,1.52328,1.39636,1.71965,0.33965,0.70803,0.45016,0.24589,1.49423,2.34336,2.15854,0.00133693,0.00133693,0.00133693
10,5774.15,1.52174,1.36759,1.70952,0.36619,0.6422,0.34104,0.17298,1.5315,3.1127,2.00934,0.00129568,0.00129568,0.00129568
11,6373.83,1.49867,1.30369,1.69591,0.35578,0.72846,0.41023,0.20676,1.68064,2.26371,2.39897,0.00125442,0.00125442,0.00125442
12,6966.61,1.48692,1.28098,1.69149,0.70172,0.13636,0.27072,0.14919,1.67659,2.89325,2.17871,0.00121316,0.00121316,0.00121316
13,7556.03,1.46571,1.27783,1.67127,0.41562,0.7004,0.51351,0.29055,1.58521,1.77578,2.16927,0.0011719,0.0011719,0.0011719
14,8154.9,1.45971,1.24488,1.65892,0.42483,0.7,0.52504,0.28949,1.48799,1.94872,1.98833,0.00113064,0.00113064,0.00113064
15,8758.69,1.44805,1.22616,1.65232,0.39395,0.75894,0.52523,0.28902,1.42808,2.09177,1.9398,0.00108938,0.00108938,0.00108938
16,9348.14,1.42701,1.20674,1.63743,0.42505,0.66582,0.52778,0.32293,1.38485,2.03016,1.89131,0.00104813,0.00104813,0.00104813
17,9947.12,1.42015,1.16835,1.63223,0.54875,0.53123,0.58028,0.3269,1.45997,1.72167,2.04397,0.00100687,0.00100687,0.00100687
18,10544.7,1.41729,1.16387,1.62888,0.44498,0.66265,0.58616,0.35195,1.38675,1.46892,1.95498,0.00096561,0.00096561,0.00096561
19,11130.3,1.4022,1.13255,1.6178,0.50156,0.69605,0.66068,0.41929,1.31706,1.3756,1.81054,0.000924352,0.000924352,0.000924352
20,11718.6,1.3855,1.10816,1.60928,0.47353,0.71192,0.68335,0.40345,1.43377,1.48366,1.96376,0.000883093,0.000883093,0.000883093
21,12298.5,1.38403,1.1185,1.61204,0.4775,0.739,0.70373,0.42183,1.35327,1.36974,1.88153,0.000841835,0.000841835,0.000841835
22,12879.5,1.39121,1.11774,1.61021,0.41391,0.74831,0.64434,0.38478,1.42114,1.54284,1.92372,0.000800577,0.000800577,0.000800577
23,13464.2,1.35367,1.07254,1.5841,0.48946,0.66848,0.59279,0.34741,1.43279,1.57912,1.98451,0.000759318,0.000759318,0.000759318
24,14043.7,1.36264,1.06192,1.57591,0.44862,0.7913,0.58688,0.37999,1.38665,1.76689,1.87612,0.00071806,0.00071806,0.00071806
25,14638.2,1.33473,1.04552,1.55884,0.63703,0.54784,0.65327,0.42574,1.32867,1.33501,1.90403,0.000676802,0.000676802,0.000676802
26,15224.2,1.338,1.03172,1.57211,0.67067,0.77602,0.79245,0.47562,1.33903,1.20341,1.87673,0.000635544,0.000635544,0.000635544
27,15801.3,1.32203,1.00575,1.55619,0.68246,0.55719,0.70785,0.45031,1.28652,1.26614,1.84901,0.000594286,0.000594286,0.000594286
28,16370.5,1.31646,0.99825,1.55531,0.58924,0.63885,0.67755,0.43001,1.35522,1.40222,1.83092,0.000553027,0.000553027,0.000553027
29,16948,1.28807,0.9817,1.53627,0.51915,0.71574,0.68127,0.43119,1.31793,1.44175,1.77533,0.000511769,0.000511769,0.000511769
30,17523.9,1.29906,0.97547,1.5357,0.78598,0.56001,0.74701,0.48527,1.36358,1.16532,1.90153,0.000470511,0.000470511,0.000470511
31,18091.3,1.33222,0.81986,1.66259,0.54163,0.65604,0.65135,0.4041,1.30982,1.3963,1.85399,0.000429253,0.000429253,0.000429253
32,18665,1.31322,0.78174,1.64274,0.68545,0.55874,0.64285,0.41432,1.18024,1.3632,1.67656,0.000387994,0.000387994,0.000387994
33,19241.8,1.28818,0.75737,1.63014,0.54303,0.61383,0.62786,0.40421,1.26516,1.37345,1.78623,0.000346736,0.000346736,0.000346736
34,19805.4,1.26763,0.74722,1.60185,0.75422,0.63778,0.70747,0.47225,1.23122,1.16103,1.77392,0.000305478,0.000305478,0.000305478
35,20370.5,1.23807,0.71274,1.59004,0.72941,0.62873,0.72616,0.46603,1.19575,1.167,1.70112,0.00026422,0.00026422,0.00026422
36,20942.7,1.22898,0.70105,1.57303,0.56115,0.6747,0.6999,0.47448,1.21393,1.14801,1.75718,0.000222961,0.000222961,0.000222961
